company,email,status
Arabian Fal, CV@Arabianfal.com
Al-Dawaa Medical Services, Cv@aldawaa.com.sa
Your company, Hr.qrm@hotmail.com
Al Ojaimi Group, Rec@alojaimi.com
Rawabi Holding, Recruitment@rawabiholding.com
Your company, Job.s6@hotmail.com
dnata, Careers@dnata.com
Alesayi Motors, Hr@alesayi_motors.com
Al Arayan, Hr@alarayan.com
McDermott, Recruiting.ksa@mcdermott.com
AYTB, Recruitment@aytb.com
GTE Corp, Wadaef@gtecorp.com
NESR, Careers@nesr.com
FARM, Recruit@farm.com.sa
Alhumam Law Firm, Info@alhumamlaw.com
Gulf Tek Saudi, Hr1@gulfteksaudi.com
CATCOSA, Catcosa@catcosa.com
Tafear, Cv@tafear.com
SRACO, Recruitment@sraco.com.sa
SIDCO, Career@sidco.com.sa
ATCO Saudi, Info@atco.com.sa
Yokogawa Saudi, HRdepartmental@sa.yokogawa.com
SHADECO, Recruitment@shadeco.com
AlKafaa, Klc.hr@alkafaa.com
KBR, Kbr-amcdehr@kbr.com
Batook, Recruitment@batook.com
Shawarmer, Career@shawarmer.com
Archirodon, Hrsupport@archirodon.net
Bin Ajinah, Jobs@binajinah.com
Nesma, Marketing.np@nesma.com
Abdulla Fouad Group, Wadaef2019@abdulla-fouad.com
Innosoft, Careers@innosoft.sa
Startime, M@startime.com.sa
Musk Saudi, job@musk.sa.com
Your company, Shababwatansa@gmail.com
SABKSA, j@sabksa.com
Bonyan, al.alshaikh@bonyan.sa
Innovest, ymohammed@innovest.com.sa
National Housing Company (NHC), s.alwadi@nhc.sa
Artar, i.atassi@artar.com.sa
Dar Wa Emaar, oalkhunaizi@darwaemaar.com
Al Masah, jobs@almasah.net
Your company, recruitment.amjad@gmail.com
Your company, jobrydlaw@gmail.com
Almoosa Hospital, Job@almoosahospital.com.sa
Almoosa Hospital, recruitment@almoosahospital.com.sa
Saudi German Hospital Group, jobs@sghgroup.net
Saudi German Hospital Group, career.dmm@sghgroup.net
Dr. Sulaiman Al Habib Group, talent.acquisition@drsulaimanalhabib.com
Johns Hopkins Aramco Healthcare, Careers@jhah.com
Al Ahsa Hospital, hrd@alahsahospital.com.sa
Al Mana Hospital, career@almanahospital.com.sa
Family Care, info@familycare.com.sa
RAM Clinics, info@ramclinics.com
Pakistan Petroleum Limited, info@ppl.com.pk;hr@ppl.com.pk
United Bank Limited (UBL), customer.services@ubl.com.pk;careers@ubl.com.pk
Habib Bank Limited (HBL), info@hbl.com;careers@hbl.com
Meezan Bank, info@meezanbank.com;careers@meezanbank.com
Standard Chartered Pakistan, info@sc.com.pk;careers.pk@sc.com
Adamjee Group, info@adamjeegroup.com
AKD Group, info@akdgroup.com
Arif Habib Corporation, info@arifhabib.com;hr@arifhabib.com
ARY Digital Network, info@arynews.tv;careers@aryservices.com
Atlas Group, info@atlasgroup.com.pk
Lucky Cement, info@luckycement.com;careers@luckycement.com
Engro Corporation, info@engro.com.pk;careers@engro.com.pk
Engro Fertilizers, info@engrofert.com;careers@engrofert.com
Habib Group, info@habibgroup.com.pk
Lakson Group, info@laksongroup.com
JS Group, info@jsgroup.com.pk;careers@js.com.pk
Colgate-Palmolive Pakistan, info@colgate.com.pk
Nestlé Pakistan, contact@nestle.com.pk;careers@pk.nestle.com
Pakistan State Oil (PSO), info@psopk.com;careers@psopk.com
Hub Power Company, info@hubpower.com;hr@hubpower.com
Systems Limited, info@systemsltd.com;careers@systemsltd.com
iCreativez Technologies, info@icreativez.com;hr@icreativez.com
Contour Software, info@contoursoftware.com.pk;careers@contoursoftware.com.pk
10Pearls, info@10pearls.com;careers@10pearls.com
Arpatech, info@arpatech.com;hr@arpatech.com
Gaditek, info@gaditek.com;careers@gaditek.com
Folio3, info@folio3.com;careers@folio3.com
Viftech Solutions, info@viftechsolutions.com;hr@viftechsolutions.com
Mangotech Solutions, info@mangotechsolutions.com
TRG Tech, info@trgtech.com
Hashoo Group, info@hashoogroup.com;careers@hashoogroup.com
Pakistan Services Limited, info@psl.com.pk
ibex. Pakistan, careers@ibex.co;hr@ibex.co
Fulcrum Pvt Ltd, info@fulcrum-pk.com;careers@fulcrum-pk.com
HRSG (Innovative Business Solutions), info@hrsgonline.com;careers@hrsgonline.com
HR Ways, info@hrways.co;careers@hrways.co
Searle Company, info@searlecompany.com;careers@searlecompany.com
Siemens Pakistan, info.pk@siemens.com;careers.pk@siemens.com
Abacus Consulting, info@abacus-global.com;careers@abacus-global.com
TPS Pakistan, info@tpsworldwide.com;careers@tpsworldwide.com
NetSol Technologies, info@netsoltech.com;careers@netsoltech.com
Daraz Pakistan, support@daraz.pk;careers@daraz.pk
Bykea, support@bykea.com;careers@bykea.com
Zameen.com, info@zameen.com;careers@zameen.com
Rozee.pk, info@rozee.pk;hr@rozee.pk
NADRA Technologies, info@nadra.gov.pk;careers@nadra.gov.pk
PTCL, care@ptcl.net.pk;careers@ptcl.net.pk
Jazz, customercare@jazz.com.pk;careers@jazz.com.pk
Telenor Pakistan, customercare@telenor.com.pk;careers@telenor.com.pk
Ufone, customercare@ufone.com;careers@ufone.com
K-Electric, customercare@ke.com.pk;careers@ke.com.pk
DHL Pakistan, info.pk@dhl.com;careers.pk@dhl.com
BlueEx, info@blue-ex.com;careers@blue-ex.com
Leopards Courier, info@leopardscourier.com;careers@leopardscourier.com
Paysys Labs, Muneeb.asif@paysyslabs.com;Marketing@paysyslabs.com
Securiti.ai, ali.kazi@securiti.ai;kaynat.jawed@securiti.ai;salima.nasir@securiti.ai
JBS, sukaina.shabbir@jbs.live
Qavi Technologies, nausheen.ali@qavitechnologies.com
Innolytix Global, hr@innolytixglobal.com
Bool Mind, usama.iqbal@boolmind.com
Colabs, niha.iqbal@colabs.pk
Conrad Labs, zainab.farooq@conradlabs.com;saad.arshad@conradlabs.com
Blink Co, kazim@blinkco.io
Avianet (Digichowk), suresh.kuar@avianet.aero
22Four, kamal@22four.com
AppsGenii, malik@appsgenii.com
ATC Digital, abdullah@atc.digital
AALogics, ceo@aalogics.com
3Techno Digital, fahad@3techno.com
Cubix, anas.rana@cubixlabs.com;salman@cubix.co
Codup, asim@codup.io;eraj.rasheed@codup.co
Cooperative Computing, waqas@cooperativecomputing.com
Sych, jriasat@sych.io
Pakistan Cables, nadeem.abbas@pakistancables.com
Double O Solutions, m.osama@doubleo-tech.com
IBL Unisys, shahid.toor@ibl-unisys.com
NEDO Group, nawaid@nedogroup.com
SMJ Enterprises, smj.enterprises.khi@gmail.com
Webnet Pakistan, wbadshah@webnet.com.pk
Sadiq AI, alirazaanis@sadiq.ai;sabaria.sarwar@sadiq.ai
Neom, admindesk@neem.pro
PwC, rija.nadeem@pwc.com;m.zubair@pwc.com
Talverse, raza.nisar@talverse.com
GAMASuite / ClimaxSuite, hassaan.yousuf@gamasuite.com;sidramahmood@climaxsuite.com
Nets International, hamid.ali@nets-international.com
IO Digital Agency, wahaj.affandi@i-o.digital
Virtuosoft, s.ibrahim.ahmed@gmail.com
Eike Consulting, shoaib.khan8874@yahoo.com
Artistic Milliners, jibran.azeem@artisticmilliners.com
Q-Solutions, aadil42281@gmail.com
Rewterz, umair.asghar@rewterz.com
ABIC, azerhafeeez@gmail.com
Lime Software Logics, saad.hasan99@yahoo.com
Dubizzle Labs, Zahyd.shuja@dubizzlelabs.com
BankIslami Pakistan, ali.khan3@bipl.io
ePlanet Global, khushboo.zubair@eplanetglobal.com
Cognitive IT Solutions, tanveer@cognitiveitsolutions.ca
Trillium Information Security Systems, umar.sufiyan@trilliuminfosec.com
IWM, azeem.khan@iwm.com.pk
Authentik Solution, hr@authentiksolution.com;hr@atksrv.net
ACDC Electrical Services, Asadullah@acdces.com
DOTSERVIZ, Sohaib@dotserviz.com
Sofistica Solutions, anum.ather@sofstica.com
Masynergy, ahmedsadiq175@gmail.com
Gas & Oil Pakistan Ltd, muneeb.ahmed@gno.com.pk
Samba Bank, alifyah.makra@samba.com.pk;careers@samba.com.pk
Meezan Bank, arsalan.khan@meezanbank.com
Aston Energy, hila.hr@gmail.com
Quice Company, ghaffar.abbasi@quice.com.pk
Santex Products, talha.rahman@santex.com.pk
Convex Interactive, aamir@convexinteractive.com;shazya.aamir@convexinteractive.com;info@convexinteractive.com
ABN Education, rimsha@abneducation.com
Shoaib Chawla Software House, shoaib102@gmail.com
Webx Ecommerce, info@webx.pk
Bool Mind, usama.iqbal@boolmind.com;sara.chishti@boolmind.com
Martin Dow, irza.khan@martindow.com
Bluetech Consulting (BTC), isfand.ali@blutechconsulting.com
Forward You (FWU), bernice.joseph@forwardyou.com;arisha.baig@forwardyou.com
Keenu, sidra.kamran@keenu.pk
MCB Bank, tariq.latif@mcb.com.pk
HR Pakistan, hr57@hrpakistan.com
Royal Cyber, aimun.bangyal@royalcyber.com
ibex, ahmed.altaf05@ibex.co
Mashreq Bank, hamayunsajjad@mashreq.com
Al Nafi, ishraque@alnafi.com
Colabs, niha.iqbal@colabs.pk
National Foods, sunaira.malik@nfoods.com
110 Solutions, aliya.yousuf@110solutions.com.au
22Four, kamal@22four.com
2B Technologies, qamber.haidry@2bt.com.pk
3Techno Digital, fahad@3techno.com
A J Ventures, ahsanjabbar@yahoo.com
A2Z Creatorz, zohaib@a2zcreators.com
AA Intelligent Systems, jkpathan@aaisystems.com
AALogics, ceo@aalogics.com
ABM Info Tech, azamsultan@abmgroup.com
Abtach, support@abtach.com
Access Group, imran.qureshi@access.net.pk
Aciano, qamar@aciano.net
Arpatech, jamal.khan@arpatech.com
Aekpani Networks, asim@aekpani.net
Aga Khan University Hospital, amran.chowdhry@aku.edu
Al-Rehman Technologies, irfan@al-rehman.com;connect@al-rehman.com
Algorithm Consulting, saquib@algorithm.com.pk
Algotrek, omair@algotrek.com
Alt Source Communications, info@alt-source.com
AMID Tech, ali@amid.tech
AMZ Access, fauzia.hasnain@amzsec.com
AppsGenii, malik@appsgenii.com
Apvision, syed.qutub@apvision.com.pk
ARITTEK, mudassir@arittek.com
Arwen Tech, qadir.sobhani@arwentech.com
Assurety Consulting, wuddin@assuretyconsulting.com
Astica, rjalil@elastica.net
AT&T Pakistan, ashraf.kapadia@att.com
ATC Digital, abdullah@atc.digital
AUA Solutions, umar.usmani@auasolutions.com
Aunh Systems, arshi@aunhsystems.com
Avanza Solutions, adnanali@apps.net.pk
Azcorp Entertainment, imran.azhar@azcorpentertainment.com
Bahria Enterprise Systems, ceo@best-bf.com
Barrett Hodgson IT Solutions, syed.javed@bh-itsolutions.com
BearingPoint / Mazars, rodney.rahman@bearingpoint.com.pk;adnan.rahman@mazars.pk;marium.raza@mazars.pk
Bespoke Global Solutions, arifa.abulhassan@gmail.com
BestHive, mohsin.johar@besthive.com
BITS Online, info@bitsonline.net
Bite IT Consultants, biteitcon@yahoo.com
BITS Software House, zahid@bitspk.com;contact@bittechnologies.co
Bitswits, fy@bitswits.com
Blue Ice Technologies, sohail.ahmed@blueicetechnologies.com;sahmed@netpace.com
Broad Peak Consultants, azaidi@mutinet.com.pk
Business Beam, ikram.khan@businessbeam.com
C Square Consulting, ahsan.mashkoor@csquare.co
Catalyst, info@catalyst-ct.com;humayun.syed@catalyst.pk
Catco International, shahida@catcointernational.com
CATCOS, sajid@catcos.com
CC Technology, shahruk@cctpak.com
Centegy Technologies, omer.morshed@centegytechnologies.com
Centric Technologies, sulaiman@centrictech.com
Channeltek, mubashir.imam@channeltek.com
Chapal, mustafa@chapal.net
Clarusoft, waseem.akbar@clarustech.com
Cloud BPO, yasin@cloudbpo.net
CloudLead, noman@cloudlead.co
Codup, asim@codup.io
COMMTEL, asherfk@commtelsoft.com
Computa, computa@cyber.net.pk
CISPL, altaf@cispl.com
Computer Research, shamsi@cr-pl.com
Connect2Web, info@connect2web.com
Cooperative Computing, waqas@cooperativecomputing.com
Core2Plus, info@core2plus.com
Techverxe, talha.ahmad@techverxe.com
Jaffer Business Systems, saniya.ashsan@jbs.live
Haasil Tech, hadi@haasiltech.com
Technosys, mowais@technosysint.com
Feitian Technologies, aftab@ftsafe.com
Golden Fiber Technologies, services.goldenfiber@gmail.com
Symmetry Group, zohaib.farooqui@symmetrygroup.biz
RapidPay, contact@rapidpay.pk
Tech24, aamir.nawaz@tech20four.com
Expedey, yousuf@expedey.com
Bitaffix, ahmed.raza@bitaffix.io
Symtera Tech, kashif.talib@symteratech.com
Server4Sale, support@server4sale.com
Special Technology Zones Authority, humaira.parveen@spza.gov.pk
SI Global, anas.rizvi@sigbl.com
HR Ways, aqsa@hrways.co
Unifonic, salman.khan@unifonic.com
Convex, info@convexinteractive.com
Dany Technologies, haseeb.iqbal@danytech.com
Daraz, hr@daraz.pk;samad.khan@daraz.pk
Darul Solutions, usman@darulsolutions.com
